date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:19	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Feb%202024%2006:44:18%20GMT	https://themebubble.com/robots.txt		(from )
12:14:19	95028/95028	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2004:59:52%20GMT	https://themebubble.com/demo/webify/creative/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/index.html	(from )
12:14:22	925795/925795	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2023:27:54%20GMT	https://themebubble.com/demo/webify/creative/wp-content/cache/min/8/98d76cfeef03b9e5d0216764c5c77015.css	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/cache/min/8/98d76cfeef03b9e5d0216764c5c77015.css	(from https://themebubble.com/demo/webify/creative/)
12:14:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:44:20%20GMT	http://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client4.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client4.1.delayed	(from https://themebubble.com/demo/webify/creative/)
12:14:22	889/889	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2014:32:56%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client4.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client4.png	(from https://themebubble.com/demo/webify/creative/)
12:14:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:44:23%20GMT	http://cdn.jsdelivr.net/	/home/jeets/websites/crm-parallax-website/cdn.jsdelivr.net/index.html	(from https://themebubble.com/demo/webify/creative/)
12:14:23	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Feb%202024%2006:44:23%20GMT	http://fonts.googleapis.com/	/home/jeets/websites/crm-parallax-website/fonts.googleapis.com/index.html	(from https://themebubble.com/demo/webify/creative/)
12:14:24	724/724	---MC-	200	added ('OK')	text/css	date:Fri,%2016%20Feb%202024%2006:44:23%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A300%2C400%2C500%2C700&subset=latin%2Clatin-ext&ver=1.0.0	/home/jeets/websites/crm-parallax-website/fonts.googleapis.com/css7122.css	(from https://themebubble.com/demo/webify/creative/)
12:14:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:44:24%20GMT	http://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/all.min.css?ver=1.0.0	/home/jeets/websites/crm-parallax-website/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/all.min.48a54.delayed	(from https://themebubble.com/demo/webify/creative/)
12:14:24	79254/79254	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2030%20Apr%202022%2017:03:21%20GMT	https://themebubble.com/demo/webify/creative/feed/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/feed/index.html	(from https://themebubble.com/demo/webify/creative/)
12:14:24	1996/1996	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2023%20Apr%202019%2013:29:02%20GMT	https://themebubble.com/demo/webify/creative/comments/feed/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/comments/feed/index.html	(from https://themebubble.com/demo/webify/creative/)
12:14:25	58578/58578	---M-Z	200	added ('OK')	text/css	etag:W/%22e4d2-ADjcl8eUUVeLe9SK9gumIoK0CCs%22	https://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/all.min.css	/home/jeets/websites/crm-parallax-website/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/all.min.css	(from https://themebubble.com/demo/webify/creative/)
12:14:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:44:26%20GMT	http://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/v4-shims.min.css?ver=1.0.0	/home/jeets/websites/crm-parallax-website/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/v4-shims.min.68a54.delayed	(from https://themebubble.com/demo/webify/creative/)
12:14:27	26702/26702	---M-Z	200	added ('OK')	text/css	etag:W/%22684e-uahHsOJextPFonqX0msgqazywaQ%22	https://cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/v4-shims.min.css	/home/jeets/websites/crm-parallax-website/cdn.jsdelivr.net/npm/@fortawesome/fontawesome-free@5.13.0/css/v4-shims.min.css	(from https://themebubble.com/demo/webify/creative/)
12:14:29	997/997	---MC-	200	added ('OK')	text/css	date:Fri,%2016%20Feb%202024%2006:44:28%20GMT	https://fonts.googleapis.com/icon?family=Material+Icons%7CMaterial+Icons+Outlined&ver=1.0.0	/home/jeets/websites/crm-parallax-website/fonts.googleapis.com/icon3a93.css	(from https://themebubble.com/demo/webify/creative/)
12:14:32	174805/174805	---M-Z	200	added ('OK')	application/json	date:Fri,%2016%20Feb%202024%2006:44:32%20GMT	https://themebubble.com/demo/webify/creative/wp-json/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-json/index.html	(from https://themebubble.com/demo/webify/creative/)
12:14:33	93927/93927	---M-Z	200	added ('OK')	application/json	date:Fri,%2016%20Feb%202024%2006:44:33%20GMT	https://themebubble.com/demo/webify/creative/wp-json/wp/v2/pages/7	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-json/wp/v2/pages/7.json	(from https://themebubble.com/demo/webify/creative/)
12:14:36	2991/2991	---M-Z	200	added ('OK')	application/json	date:Fri,%2016%20Feb%202024%2006:44:36%20GMT	https://themebubble.com/demo/webify/creative/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthemebubble.com%2Fdemo%2Fwebify%2Fcreative%2F	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-json/oembed/1.0/embedfe50.json	(from https://themebubble.com/demo/webify/creative/)
12:14:37	3057/3057	---M-Z	200	added ('OK')	text/xml	date:Fri,%2016%20Feb%202024%2006:44:37%20GMT	https://themebubble.com/demo/webify/creative/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthemebubble.com%2Fdemo%2Fwebify%2Fcreative%2F&format=xml	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-json/oembed/1.0/embedb5bf	(from https://themebubble.com/demo/webify/creative/)
12:14:38	855/855	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202020%2006:34:08%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/cropped-Favicon-32x32.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/cropped-Favicon-32x32.png	(from https://themebubble.com/demo/webify/creative/)
12:14:39	6010/6010	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202020%2006:34:08%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/cropped-Favicon-192x192.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/cropped-Favicon-192x192.png	(from https://themebubble.com/demo/webify/creative/)
12:14:40	5626/5626	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202020%2006:34:08%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/cropped-Favicon-180x180.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/cropped-Favicon-180x180.png	(from https://themebubble.com/demo/webify/creative/)
12:14:42	83461/83461	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Apr%202020%2014:28:29%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/peter-secan-422909-unsplash-2.jpg	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/peter-secan-422909-unsplash-2.jpg	(from https://themebubble.com/demo/webify/creative/)
12:14:43	3222/3222	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2014:26:11%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/new.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/05/new.png	(from https://themebubble.com/demo/webify/creative/)
12:14:44	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:44:44%20GMT	http://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client2.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client2.16.delayed	(from https://themebubble.com/demo/webify/creative/)
12:14:44	63921/63921	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:39%20GMT	https://themebubble.com/demo/webify/creative/about/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/about/index.html	(from https://themebubble.com/demo/webify/creative/)
12:14:45	658/658	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Apr%202020%2014:33:13%20GMT	https://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client2.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client2.png	(from https://themebubble.com/demo/webify/creative/)
12:14:46	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2016%20Feb%202024%2006:44:46%20GMT	http://themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client1.png	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/wp-content/uploads/sites/8/2019/04/client1.png	(from https://themebubble.com/demo/webify/creative/)
12:14:46	45936/45936	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2001:03:40%20GMT	https://themebubble.com/demo/webify/creative/contact/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/contact/index.html	(from https://themebubble.com/demo/webify/creative/)
12:14:46	54897/54897	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Feb%202024%2006:44:45%20GMT	https://themebubble.com/demo/webify/creative/blog/	/home/jeets/websites/crm-parallax-website/themebubble.com/demo/webify/creative/blog/index.html	(from https://themebubble.com/demo/webify/creative/)
